,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meet,meanVUH
0,7470810,2142523.0,0.000638854550888,0.0316812439261,"(40.010961365678348, 116.50550996483001)",3.47023485585,326,0.728960155491,0.0316812439261
1,8175883,1866816.0,0.00119549916906,0.141982507289,"(39.90359389038634, 116.421101992966)",6.49390832523,1196,1.64159378037,0.147910592809
2,6971348,1802120.0,0.00173285282326,0.174246841594,"(40.071159029649593, 116.56529894490036)",9.41279397473,422,2.43391642371,0.188921282799
3,7475707,1688503.0,0.00223632831721,0.180563654033,"(40.010512129380054, 116.50492379835875)",12.1476546809,210,4.13197278912,0.209329446064
4,7989586,1609159.0,0.00271614512677,0.227988338192,"(39.82587601078167, 116.44337631887457)",14.7540022676,656,4.66929057337,0.273080660836
5,6961552,1419218.0,0.00313932559111,0.27074829932,"(40.071159029649593, 116.56647127784291)",17.0527032718,762,5.25694849368,0.34713313897
6,6976248,1377715.0,0.00355013074819,0.285325558795,"(40.072057502246182, 116.56471277842908)",19.2841820538,335,5.96686103013,0.379689018465
7,8180781,1344479.0,0.00395102564067,0.302721088435,"(39.90359389038634, 116.42051582649474)",21.4618286362,883,6.5260447036,0.465500485909
8,7989585,1316623.0,0.00434361446952,0.326724975705,"(39.825426774483375, 116.44337631887457)",23.5943569809,626,6.9749271137,0.526336248785
9,6976246,1301935.0,0.00473182365081,0.342079689018,"(40.071159029649593, 116.56471277842908)",25.7030952381,455,7.54800777454,0.57055393586
10,9077097,1292086.0,0.00511709607086,0.434013605442,"(39.895507637017069, 116.31324736225089)",27.7958811144,1674,8.15344995141,0.733236151603
11,6976247,1264719.0,0.00549420823664,0.444509232264,"(40.071608265947887, 116.56471277842908)",29.8443407839,394,8.67774538387,0.771525753158
12,7480604,1259810.0,0.00586985664356,0.446258503401,"(40.010062893081759, 116.50433763188747)",31.8848493683,130,9.12585034014,0.784159378037
13,6961554,1240476.0,0.00623974006505,0.454227405248,"(40.072057502246182, 116.56647127784291)",33.89404276,333,9.62789115646,0.816520894072
14,7549078,1234263.0,0.00660777090278,0.459572400389,"(39.966037735849056, 116.49613130128957)",35.8931729835,99,10.0737609329,0.826141885326
15,7480605,1229945.0,0.00697451420523,0.460349854227,"(40.010512129380054, 116.50433763188747)",37.8853093618,119,10.4862001944,0.837706511176
16,6971349,1227736.0,0.00734059883111,0.468707482993,"(40.071608265947887, 116.56529894490036)",39.8738678328,369,10.9878522838,0.873566569485
17,6961553,1212770.0,0.00770222091576,0.47657920311,"(40.071608265947887, 116.56647127784291)",41.838185941,402,11.5098153547,0.912633624879
18,6971350,1172311.0,0.00805177899164,0.483187560739,"(40.072057502246182, 116.56529894490036)",43.7369727891,323,12.0161321672,0.944023323615
19,7505087,1162431.0,0.00839839106276,0.487463556851,"(40.006918238993713, 116.50140679953107)",45.6197570457,167,12.3675413022,0.960252672498
20,7465912,1152448.0,0.00874202641671,0.489601554908,"(40.010961365678348, 116.50609613130129)",47.4863718821,203,12.8523809524,0.979980563654
21,6966451,1127415.0,0.00907819746528,0.495432458698,"(40.071608265947887, 116.56588511137164)",49.3124408811,334,13.5286686103,1.01243926142
22,6966450,1078766.0,0.00939986242217,0.50009718173,"(40.071159029649593, 116.56588511137164)",51.0597133139,339,13.9544217687,1.04538386783
23,7470809,1074952.0,0.00972039012581,0.502235179786,"(40.010512129380054, 116.50550996483001)",52.8008082281,327,14.3738581147,1.07716229349
24,8538178,1054227.0,0.0100347380776,0.527016520894,"(39.833063791554359, 116.37772567409145)",54.508334953,521,14.919436346,1.12779397473
25,6966452,1051890.0,0.0103483891859,0.531584062196,"(40.072057502246182, 116.56588511137164)",56.2120764496,301,15.3829931973,1.15704567541
26,6981144,1049970.0,0.0106614677912,0.537803692906,"(40.071159029649593, 116.5641266119578)",57.9127081309,757,15.8402332362,1.2306122449
27,9126078,1047464.0,0.010973799161,0.557434402332,"(39.895956873315363, 116.30738569753811)",59.6092808552,741,16.172303207,1.30262390671
28,7607864,1002709.0,0.0112727855466,0.566472303207,"(39.970530098831986, 116.48909730363424)",61.2333641075,377,16.6630709427,1.33926141885
29,6981146,988660.0,0.0115675828208,0.57065111759,"(40.072057502246182, 116.5641266119578)",62.8346922579,400,17.0857142857,1.37813411079
30,7539251,947888.0,0.0118502227563,0.573275024295,"(39.952111410601972, 116.49730363423213)",64.3699821833,83,17.5163265306,1.38620019436
31,8533280,911999.0,0.0121221613593,0.574538386783,"(39.833063791554359, 116.37831184056273)",65.8471428571,73,17.8368318756,1.39329446064
32,6795038,903104.0,0.0123914476635,0.621185617104,"(40.079245283018864, 116.58640093786636)",67.3098963395,1914,18.1935860058,1.57930029155
33,6981145,894929.0,0.0126582963575,0.623906705539,"(40.071608265947887, 116.5641266119578)",68.7594088111,547,18.7552964043,1.63245869776
34,6790136,893666.0,0.0129247684519,0.629737609329,"(40.077448337825693, 116.58698710433764)",70.2068756074,1011,19.1269193392,1.73070942663
35,7475706,891410.0,0.0131905678553,0.629834791059,"(40.010062893081759, 116.50492379835875)",71.6506883706,96,19.5778425656,1.74003887269
36,9077096,884073.0,0.0134541795222,0.636248785228,"(39.895058400718774, 116.31324736225089)",73.0826174279,519,19.9199222546,1.79047619048
37,7500191,880990.0,0.0137168719044,0.636443148688,"(40.007816711590294, 116.50199296600235)",74.509552964,58,20.2236151603,1.79611273081
38,9126077,857858.0,0.0139726668187,0.640427599611,"(39.895507637017069, 116.30738569753811)",75.8990217039,401,20.5059280855,1.83508260447
39,7798901,846400.0,0.0142250452025,0.641788143829,"(39.977268643306381, 116.4662368112544)",77.2699319728,75,20.7483965015,1.84237123421
40,7970274,831675.0,0.014473032906,0.651506316812,"(39.951662174303685, 116.44572098475967)",78.6169922255,628,21.1533527697,1.90340136054
41,8180783,828104.0,0.0147199558137,0.690184645287,"(39.904492362982928, 116.42051582649474)",79.9582685455,1844,21.5146744412,2.08260447036
42,8538177,827179.0,0.0149666029062,0.692322643343,"(39.832614555256065, 116.37772567409145)",81.2980466472,327,21.874829932,2.11438289602
43,7480603,734804.0,0.0151857057487,0.692614188533,"(40.009613656783465, 116.50433763188747)",82.4882053774,85,22.9440233236,2.12264334305
