,Region,dVCR,VCR,dUCR,UCR,loc
0,6795038,903104.0,0.000269286304196,1914,0.186005830904,"(40.079245283018864, 116.58640093786636)"
1,8180783,828104.0,0.000516209211912,1844,0.321185617104,"(39.904492362982928, 116.42051582649474)"
2,9077097,1292086.0,0.000901481631969,1674,0.417103984451,"(39.895507637017069, 116.31324736225089)"
3,8180782,700599.0,0.00111038527478,1728,0.473372206025,"(39.904043126684634, 116.42051582649474)"
4,6795037,628157.0,0.00129768826201,1509,0.526627793975,"(40.078796046720576, 116.58640093786636)"
5,9067300,655906.0,0.00149326540777,1547,0.566861030126,"(39.895058400718774, 116.31441969519344)"
6,7754664,495767.0,0.00164109252754,1371,0.607580174927,"(39.907637017070975, 116.47151230949591)"
7,8249328,411983.0,0.00176393704983,1328,0.64139941691,"(39.892362982929022, 116.41230949589684)"
8,9062405,480707.0,0.00190727359959,1349,0.666472303207,"(39.896406109613658, 116.31500586166472)"
9,7891864,377597.0,0.00201986495186,1265,0.690864917396,"(39.932794249775384, 116.45509964830012)"
10,6795035,605200.0,0.00220032265252,1363,0.709912536443,"(40.077897574123988, 116.58640093786636)"
11,8180784,571463.0,0.00237072070109,1480,0.726239067055,"(39.904941599281223, 116.42051582649474)"
12,8538301,367649.0,0.00248034577246,1245,0.743148688047,"(39.888319856244387, 116.37772567409145)"
13,8802907,412802.0,0.00260343450304,1162,0.758309037901,"(39.939532794249772, 116.34607268464245)"
14,8078004,386001.0,0.00271853174844,1298,0.769873663751,"(39.939982030548066, 116.43282532239157)"
15,8621568,356879.0,0.00282494543607,1141,0.781632653061,"(39.888769092542674, 116.36776084407973)"
16,6829325,520148.0,0.00298004244877,1283,0.792128279883,"(40.079694519317158, 116.58229777256741)"
17,8254244,370546.0,0.0030905313436,1255,0.800583090379,"(39.900449236298293, 116.41172332942556)"
18,9072199,466792.0,0.00322971873786,1288,0.808551992225,"(39.895507637017069, 116.31383352872216)"
19,7754662,413443.0,0.00335299860094,1302,0.815451895044,"(39.906738544474393, 116.47151230949591)"
20,8175883,1866816.0,0.00390964321911,1196,0.822448979592,"(39.90359389038634, 116.421101992966)"
21,8778399,358961.0,0.00401667771463,1175,0.82915451895,"(39.931446540880501, 116.34900351699883)"
22,8528505,332153.0,0.00411571863771,1196,0.835665694849,"(39.888319856244387, 116.37889800703401)"
23,8641292,364893.0,0.0042245219288,1121,0.840816326531,"(39.948068283917337, 116.36541617819461)"
24,8068170,337316.0,0.0043251023481,1203,0.846064139942,"(39.922911051212935, 116.43399765533412)"
25,6790136,893666.0,0.00459157444248,1011,0.850728862974,"(40.077448337825693, 116.58698710433764)"
26,8621591,339429.0,0.0046927849132,1082,0.856462585034,"(39.89910152740341, 116.36776084407973)"
27,9150595,454876.0,0.00482841921103,932,0.861224489796,"(39.90808625336927, 116.30445486518171)"
28,8185723,315583.0,0.00492251931438,1215,0.865306122449,"(39.92336028751123, 116.41992966002346)"
29,8533403,340265.0,0.00502397906242,1224,0.868221574344,"(39.888319856244387, 116.37831184056273)"
30,8205459,296348.0,0.00511234370002,970,0.871914480078,"(39.988050314465404, 116.41758499413834)"
31,8195475,564386.0,0.0052806315385,1308,0.873858114674,"(39.90359389038634, 116.4187573270809)"
32,9072198,494592.0,0.00542810829839,1092,0.876870748299,"(39.895058400718774, 116.31383352872216)"
33,6848910,461894.0,0.00556583521377,1210,0.879300291545,"(40.076549865229111, 116.5799531066823)"
34,7984926,302937.0,0.0056561645503,1084,0.88221574344,"(39.932794249775384, 116.44396248534585)"
35,7989586,1609159.0,0.00613598135985,656,0.885519922255,"(39.82587601078167, 116.44337631887457)"
36,9062406,321077.0,0.00623171965654,964,0.888532555879,"(39.896855345911945, 116.31500586166472)"
37,7891773,322961.0,0.00632801972175,1072,0.891059280855,"(39.891913746630728, 116.45509964830012)"
38,9062559,251127.0,0.00640290042399,936,0.893586005831,"(39.965588499550762, 116.31500586166472)"
39,8249327,356799.0,0.00650929025733,1268,0.895043731778,"(39.891913746630728, 116.41230949589684)"
40,6844012,474378.0,0.0066507396346,1223,0.896307094266,"(40.076549865229111, 116.58053927315358)"
41,8332683,314289.0,0.00674445389482,1137,0.897862001944,"(39.932345013477089, 116.40234466588512)"
42,8063272,326834.0,0.00684190880582,1185,0.899125364431,"(39.922911051212935, 116.4345838218054)"
43,9028212,250407.0,0.00691657481945,932,0.900874635569,"(39.938185085354895, 116.31910902696366)"
44,7896672,335178.0,0.00701651773286,1156,0.902235179786,"(39.892362982929022, 116.45451348182884)"
45,9160391,239348.0,0.00708788618913,737,0.904081632653,"(39.90808625336927, 116.30328253223917)"
46,7891841,297028.0,0.0071764535882,1038,0.90592808552,"(39.922461814914641, 116.45509964830012)"
47,8190677,282300.0,0.00726062941255,1044,0.906899902818,"(39.948517520215631, 116.41934349355218)"
48,8249345,299525.0,0.00734994136362,1122,0.908260447036,"(39.899999999999999, 116.41230949589684)"
49,8244429,337252.0,0.00745050269948,1221,0.909135082604,"(39.891913746630728, 116.41289566236811)"
50,9033172,284184.0,0.00753524029235,843,0.910592808552,"(39.966037735849056, 116.31852286049238)"
