,Region,dVCR,VCR,UCR,loc
0,6795038,903104.0,0.000269286304196,0.186005830904,"(40.079245283018864, 116.58640093786636)"
1,8180783,828104.0,0.000516209211912,0.321185617104,"(39.904492362982928, 116.42051582649474)"
2,9077097,1292086.0,0.000901481631969,0.417103984451,"(39.895507637017069, 116.31324736225089)"
3,6795037,628157.0,0.0010887846192,0.479689018465,"(40.078796046720576, 116.58640093786636)"
4,8249328,411983.0,0.0012116291415,0.534402332362,"(39.892362982929022, 116.41230949589684)"
5,7754664,495767.0,0.00135945626127,0.576967930029,"(39.907637017070975, 116.47151230949591)"
6,9067300,655906.0,0.00155503340702,0.613605442177,"(39.895058400718774, 116.31441969519344)"
7,7891864,377597.0,0.0016676247593,0.643148688047,"(39.932794249775384, 116.45509964830012)"
8,9062405,480707.0,0.00181096130905,0.669193391642,"(39.896406109613658, 116.31500586166472)"
9,8621591,339429.0,0.00191217177977,0.692614188533,"(39.89910152740341, 116.36776084407973)"
10,8180784,571463.0,0.00208256982834,0.712536443149,"(39.904941599281223, 116.42051582649474)"
11,8641292,364893.0,0.00219137311943,0.730126336249,"(39.948068283917337, 116.36541617819461)"
12,8175883,1866816.0,0.00274801773761,0.744120505345,"(39.90359389038634, 116.421101992966)"
13,6795035,605200.0,0.00292847543827,0.758309037901,"(40.077897574123988, 116.58640093786636)"
14,8778399,358961.0,0.00303550993379,0.771331389699,"(39.931446540880501, 116.34900351699883)"
15,8528505,332153.0,0.00313455085687,0.783576287658,"(39.888319856244387, 116.37889800703401)"
16,7989586,1609159.0,0.00361436766642,0.793294460641,"(39.82587601078167, 116.44337631887457)"
17,9150595,454876.0,0.00375000196425,0.803304178814,"(39.90808625336927, 116.30445486518171)"
18,8185723,315583.0,0.0038441020676,0.813119533528,"(39.92336028751123, 116.41992966002346)"
19,6829325,520148.0,0.0039991990803,0.821185617104,"(40.079694519317158, 116.58229777256741)"
20,9072199,466792.0,0.00413838647456,0.828765792031,"(39.895507637017069, 116.31383352872216)"
21,7754662,413443.0,0.00426166633764,0.83537414966,"(39.906738544474393, 116.47151230949591)"
22,8249326,306285.0,0.00435299397619,0.84139941691,"(39.891464510332433, 116.41230949589684)"
23,8205459,296348.0,0.00444135861379,0.8472303207,"(39.988050314465404, 116.41758499413834)"
24,8180782,700599.0,0.00465026225659,0.852283770651,"(39.904043126684634, 116.42051582649474)"
25,6790136,893666.0,0.00491673435098,0.856559766764,"(40.077448337825693, 116.58698710433764)"
26,8078004,386001.0,0.00503183159637,0.861030126336,"(39.939982030548066, 116.43282532239157)"
27,8778409,284613.0,0.00511669710787,0.865500485909,"(39.93593890386343, 116.34900351699883)"
28,8621568,356879.0,0.0052231107955,0.869387755102,"(39.888769092542674, 116.36776084407973)"
29,9028212,250407.0,0.00529777680913,0.873177842566,"(39.938185085354895, 116.31910902696366)"
30,8068170,337316.0,0.00539835722843,0.87667638484,"(39.922911051212935, 116.43399765533412)"
31,9072198,494592.0,0.00554583398832,0.879980563654,"(39.895058400718774, 116.31383352872216)"
32,7989585,1316623.0,0.00593842281717,0.88211856171,"(39.825426774483375, 116.44337631887457)"
33,9062559,251127.0,0.00601330351941,0.885228377065,"(39.965588499550762, 116.31500586166472)"
34,7891841,297028.0,0.00610187091847,0.8879494655,"(39.922461814914641, 116.45509964830012)"
35,9126078,1047464.0,0.00641420228821,0.889893100097,"(39.895956873315363, 116.30738569753811)"
36,6971348,1802120.0,0.0069515559424,0.891059280855,"(40.071159029649593, 116.56529894490036)"
37,7470810,2142523.0,0.00759041049329,0.891739552964,"(40.010961365678348, 116.50550996483001)"
38,9062406,321077.0,0.00768614878998,0.89416909621,"(39.896855345911945, 116.31500586166472)"
39,7891773,322961.0,0.00778244885519,0.896404275996,"(39.891913746630728, 116.45509964830012)"
40,8778417,202019.0,0.00784268660177,0.898736637512,"(39.939532794249772, 116.34900351699883)"
41,8180781,1344479.0,0.00824358149425,0.89980563654,"(39.90359389038634, 116.42051582649474)"
42,9160391,239348.0,0.00831494995052,0.901846452867,"(39.90808625336927, 116.30328253223917)"
43,7970274,831675.0,0.00856293765409,0.903206997085,"(39.951662174303685, 116.44572098475967)"
44,9106464,248039.0,0.00863689758075,0.905053449951,"(39.886073674752922, 116.30973036342321)"
45,7984926,302937.0,0.00872722691728,0.906802721088,"(39.932794249775384, 116.44396248534585)"
46,7896672,335178.0,0.00882716983068,0.908454810496,"(39.892362982929022, 116.45451348182884)"
47,9033172,284184.0,0.00891190742355,0.910106899903,"(39.966037735849056, 116.31852286049238)"
48,6976246,1301935.0,0.00930011660484,0.910689990282,"(40.071159029649593, 116.56471277842908)"
49,7475707,1688503.0,0.00980359209879,0.910884353741,"(40.010512129380054, 116.50492379835875)"
50,6976248,1377715.0,0.0102143972559,0.911370262391,"(40.072057502246182, 116.56471277842908)"
51,8768558,238474.0,0.010285505104,0.912925170068,"(39.911230907457323, 116.35017584994139)"
52,7754665,277221.0,0.0103681664792,0.914382896016,"(39.90808625336927, 116.47151230949591)"
53,6961552,1419218.0,0.0107913469435,0.914674441205,"(40.071159029649593, 116.56647127784291)"
54,6961554,1240476.0,0.011161230365,0.915063168124,"(40.072057502246182, 116.56647127784291)"
55,6961553,1212770.0,0.0115228524497,0.915451895044,"(40.071608265947887, 116.56647127784291)"
56,7607864,1002709.0,0.0118218388353,0.916034985423,"(39.970530098831986, 116.48909730363424)"
57,6976247,1264719.0,0.0121989510011,0.916326530612,"(40.071608265947887, 116.56471277842908)"
58,7549078,1234263.0,0.0125669818388,0.916715257532,"(39.966037735849056, 116.49613130128957)"
59,9106684,219815.0,0.0126325259721,0.917978620019,"(39.984905660377358, 116.30973036342321)"
60,7754655,218284.0,0.0126976135939,0.919241982507,"(39.90359389038634, 116.47151230949591)"
61,6971350,1172311.0,0.0130471716698,0.919533527697,"(40.072057502246182, 116.56529894490036)"
62,7979788,485325.0,0.0131918852084,0.920505344995,"(39.824977538185081, 116.44454865181712)"
63,6966451,1127415.0,0.013528056257,0.920796890185,"(40.071608265947887, 116.56588511137164)"
64,6981145,894929.0,0.013794904951,0.921282798834,"(40.071608265947887, 116.5641266119578)"
65,9077096,884073.0,0.0140585166178,0.921768707483,"(39.895058400718774, 116.31324736225089)"
66,7480604,1259810.0,0.0144341650248,0.921865889213,"(40.010062893081759, 116.50433763188747)"
67,8538178,1054227.0,0.0147485129765,0.922157434402,"(39.833063791554359, 116.37772567409145)"
68,6971349,1227736.0,0.0151145976024,0.922254616132,"(40.071608265947887, 116.56529894490036)"
69,6966450,1078766.0,0.0154362625593,0.922448979592,"(40.071159029649593, 116.56588511137164)"
70,8768603,198185.0,0.015495357089,0.92351797862,"(39.931446540880501, 116.35017584994139)"
71,7505087,1162431.0,0.0158419691602,0.92361516035,"(40.006918238993713, 116.50140679953107)"
72,8024086,281874.0,0.0159260179604,0.924586977648,"(39.922012578616354, 116.43927315357563)"
73,6981144,1049970.0,0.0162390965658,0.924781341108,"(40.071159029649593, 116.5641266119578)"
74,7480605,1229945.0,0.0166058398682,0.924781341108,"(40.010512129380054, 116.50433763188747)"
75,7465912,1152448.0,0.0169494752222,0.924781341108,"(40.010961365678348, 116.50609613130129)"
76,6785238,348150.0,0.0170532861086,0.925558794947,"(40.077448337825693, 116.58757327080892)"
77,8249333,232202.0,0.0171225237805,0.926433430515,"(39.894609164420487, 116.41230949589684)"
78,7598069,614863.0,0.0173058627812,0.926919339164,"(39.970979335130281, 116.4902696365768)"
79,8802907,412802.0,0.0174289515117,0.927599611273,"(39.939532794249772, 116.34607268464245)"
80,6981146,988660.0,0.0177237487859,0.927696793003,"(40.072057502246182, 116.5641266119578)"
81,8523607,203862.0,0.0177845360757,0.928571428571,"(39.888319856244387, 116.37948417350528)"
82,7470809,1074952.0,0.0181050637793,0.928571428571,"(40.010512129380054, 116.50550996483001)"
83,8180790,280006.0,0.0181885555819,0.92934888241,"(39.907637017070975, 116.42051582649474)"
84,6966452,1051890.0,0.0185022066903,0.92934888241,"(40.072057502246182, 116.56588511137164)"
85,8249344,268946.0,0.0185824006373,0.930126336249,"(39.899550763701704, 116.41230949589684)"
86,7539251,947888.0,0.0188650405728,0.930223517979,"(39.952111410601972, 116.49730363423213)"
87,8773476,134327.0,0.0189050940123,0.931098153547,"(39.920215633423176, 116.34958968347011)"
88,8219878,211737.0,0.0189682294587,0.931875607386,"(39.864510332434861, 116.41582649472451)"
89,6844012,474378.0,0.019109678836,0.932361516035,"(40.076549865229111, 116.58053927315358)"
90,7994484,668025.0,0.0193088696084,0.932653061224,"(39.82587601078167, 116.44279015240329)"
91,8195475,564386.0,0.0194771574469,0.933041788144,"(39.90359389038634, 116.4187573270809)"
92,7798901,846400.0,0.0197295358306,0.933138969874,"(39.977268643306381, 116.4662368112544)"
93,7411766,626960.0,0.019916481898,0.933430515063,"(39.890566037735844, 116.51254396248535)"
94,8533280,911999.0,0.0201884205011,0.933430515063,"(39.833063791554359, 116.37831184056273)"
95,8969408,23276.0,0.0201953609066,0.934305150632,"(39.925606469002695, 116.326143024619)"
96,7588248,700401.0,0.0204042055101,0.934499514091,"(39.959748427672956, 116.49144196951934)"
97,7475706,891410.0,0.0206700049135,0.934499514091,"(40.010062893081759, 116.50492379835875)"
98,7500191,880990.0,0.0209326972957,0.934499514091,"(40.007816711590294, 116.50199296600235)"
99,8675540,182988.0,0.0209872604049,0.9351797862,"(39.930997304582206, 116.36131301289566)"
100,9126077,857858.0,0.0212430553193,0.9351797862,"(39.895507637017069, 116.30738569753811)"
101,8102493,256754.0,0.0213196138726,0.935762876579,"(39.939532794249772, 116.42989449003518)"
102,8538177,827179.0,0.0215662609651,0.935762876579,"(39.832614555256065, 116.37772567409145)"
103,8651130,241579.0,0.0216382946579,0.936345966958,"(39.966936208445638, 116.36424384525206)"
104,8259157,303620.0,0.0217288276504,0.936831875607,"(39.907187780772688, 116.41113716295429)"
105,9062407,301946.0,0.0218188614919,0.937317784257,"(39.897304582210239, 116.31500586166472)"
106,8068394,592413.0,0.0219955063826,0.937512147716,"(40.023539982030549, 116.43399765533412)"
107,6966453,681069.0,0.022198586597,0.937609329446,"(40.072506738544476, 116.56588511137164)"
108,9052607,458666.0,0.0223353509918,0.937900874636,"(39.895507637017069, 116.31617819460728)"
109,9155525,155835.0,0.022381817657,0.938483965015,"(39.922461814914641, 116.30386869871045)"
110,6839100,443659.0,0.0225141072852,0.938775510204,"(40.070260557053011, 116.58112543962486)"
111,7480603,734804.0,0.0227332101277,0.938775510204,"(40.009613656783465, 116.50433763188747)"
112,7544180,533357.0,0.0228922457818,0.938969873664,"(39.966037735849056, 116.49671746776085)"
113,8415831,132976.0,0.0229318963819,0.939552964043,"(39.879335130278527, 116.3923798358734)"
114,6829286,421602.0,0.0230576090844,0.939844509232,"(40.062174303683733, 116.58229777256741)"
115,7289486,615494.0,0.0232411362358,0.939941690962,"(39.966936208445638, 116.5271981242673)"
116,8940114,602521.0,0.0234207951159,0.940038872692,"(39.967834681042227, 116.32966002344666)"
117,7558804,504017.0,0.0235710822093,0.940233236152,"(39.934591194968554, 116.49495896834702)"
118,8778410,198443.0,0.0236302536691,0.940719144801,"(39.936388140161725, 116.34900351699883)"
119,8254392,97310.0,0.0236592694306,0.94130223518,"(39.966936208445638, 116.41172332942556)"
120,7205751,579157.0,0.0238319616655,0.94139941691,"(39.756244384546271, 116.53716295427903)"
121,8151436,479204.0,0.0239748500528,0.941593780369,"(39.922911051212935, 116.4240328253224)"
122,6848909,471802.0,0.0241155313219,0.941788143829,"(40.076100628930817, 116.5799531066823)"
123,9077190,177823.0,0.0241685543386,0.942274052478,"(39.937286612758307, 116.31324736225089)"
124,9287735,176438.0,0.0242211643779,0.942759961127,"(39.906289308176099, 116.28804220398594)"
125,7495294,657686.0,0.0244172722816,0.942759961127,"(40.008265947888589, 116.50257913247363)"
126,8170985,656547.0,0.0246130405599,0.942759961127,"(39.90359389038634, 116.42168815943728)"
127,7602966,645688.0,0.0248055709165,0.942759961127,"(39.970530098831986, 116.48968347010552)"
128,7656797,535324.0,0.0249651930879,0.942857142857,"(39.94941599281222, 116.48323563892146)"
129,7436525,632132.0,0.0251536813352,0.942857142857,"(40.011410601976635, 116.50961313012897)"
130,8254243,237634.0,0.0252245387133,0.943245869776,"(39.899999999999999, 116.41172332942556)"
131,7064500,528019.0,0.0253819826899,0.943343051506,"(40.111590296495955, 116.55416178194608)"
132,7891849,137189.0,0.0254228895166,0.943828960155,"(39.926055705300989, 116.45509964830012)"
133,6971351,615357.0,0.0256063758175,0.943828960155,"(40.072506738544476, 116.56529894490036)"
134,7573658,503844.0,0.0257566113259,0.943926141885,"(40.006469002695418, 116.49320046893318)"
135,8083087,503219.0,0.0259066604728,0.944023323615,"(40.023090745732254, 116.43223915592029)"
136,8337621,210080.0,0.0259693018372,0.944412050534,"(39.950314465408802, 116.40175849941384)"
137,4791716,501377.0,0.026118801739,0.944509232264,"(40.061275831087151, 116.826143024619)"
138,8298249,498941.0,0.0262675752777,0.944606413994,"(39.865858041329737, 116.40644783118407)"
139,7891865,299999.0,0.0263570285655,0.944897959184,"(39.933243486073671, 116.45509964830012)"
140,9517826,489470.0,0.0265029780545,0.944995140914,"(39.854627133872413, 116.26049237983588)"
141,8259172,481554.0,0.0266465671615,0.945092322643,"(39.913926325247076, 116.41113716295429)"
142,6829314,381185.0,0.0267602283787,0.945286686103,"(40.074752920035941, 116.58229777256741)"
143,7740121,374781.0,0.02687198006,0.945481049563,"(39.975471698113203, 116.47327080890973)"
144,7084015,373079.0,0.0269832242413,0.945675413022,"(40.076999101527399, 116.55181711606097)"
145,8068393,567349.0,0.027152395583,0.945675413022,"(40.023090745732254, 116.43399765533412)"
146,7549089,371817.0,0.0272632634628,0.945869776482,"(39.970979335130281, 116.49613130128957)"
147,9116259,175679.0,0.0273156471846,0.946258503401,"(39.885624438454627, 116.30855803048067)"
148,7539250,561475.0,0.0274830670251,0.946258503401,"(39.951662174303685, 116.49730363423213)"
149,6848910,461894.0,0.0276207939405,0.946355685131,"(40.076549865229111, 116.5799531066823)"
150,6839101,458676.0,0.0277575613171,0.946452866861,"(40.070709793351298, 116.58112543962486)"
151,8249327,356799.0,0.0278639511504,0.946647230321,"(39.891913746630728, 116.41230949589684)"
152,8386274,548527.0,0.0280275101741,0.946647230321,"(39.803414195867028, 116.39589683470106)"
153,6961555,548038.0,0.0281909233885,0.946647230321,"(40.072506738544476, 116.56647127784291)"
154,8224776,256271.0,0.0282673379216,0.94693877551,"(39.864510332434861, 116.41524032825323)"
155,7666680,251907.0,0.0283424512032,0.9472303207,"(39.988499550763699, 116.4820633059789)"
156,6760244,538909.0,0.0285031423449,0.9472303207,"(39.851033243486071, 116.5905041031653)"
157,7505067,438267.0,0.0286338241941,0.94732750243,"(39.997933513027853, 116.50140679953107)"
158,9434943,46826.0,0.0286477867061,0.947813411079,"(40.026684636118596, 116.27045720984761)"
159,7994608,532557.0,0.0288065838173,0.947813411079,"(39.881581311769992, 116.44279015240329)"
160,9018660,529513.0,0.0289644732728,0.947813411079,"(40.047798742138362, 116.32028135990622)"
161,9498502,527997.0,0.0291219106895,0.947813411079,"(39.975022461814916, 116.26283704572099)"
162,7965376,430372.0,0.0292502384184,0.947910592809,"(39.951662174303685, 116.44630715123095)"
163,8406001,133266.0,0.0292899754903,0.948299319728,"(39.864061096136567, 116.39355216881594)"
164,8043411,520871.0,0.0294452880862,0.948299319728,"(39.802066486972144, 116.43692848769051)"
165,9400474,515718.0,0.0295990641676,0.948299319728,"(39.944474393530996, 116.27456037514655)"
166,7980003,222246.0,0.0296653331731,0.948590864917,"(39.921563342318059, 116.44454865181712)"
167,6970961,512853.0,0.0298182549728,0.948590864917,"(39.897304582210239, 116.56529894490036)"
168,9184887,509448.0,0.0299701614742,0.948590864917,"(39.910781671159029, 116.30035169988277)"
169,7950510,509150.0,0.0301219791185,0.948590864917,"(39.874393530997303, 116.44806565064479)"
170,8195461,508524.0,0.0302736101029,0.948590864917,"(39.897304582210239, 116.4187573270809)"
171,7475655,507847.0,0.0304250392204,0.948590864917,"(39.987151841868823, 116.50492379835875)"
172,8719527,310647.0,0.0305176675141,0.948785228377,"(39.888319856244387, 116.35603751465416)"
173,7549175,406986.0,0.0306390220378,0.948882410107,"(40.009613656783465, 116.49613130128957)"
174,8097241,502999.0,0.0307890055854,0.948882410107,"(39.780503144654084, 116.43048065650645)"
175,7798802,306374.0,0.0308803597618,0.949076773567,"(39.932794249775384, 116.4662368112544)"
176,8038804,306033.0,0.0309716122593,0.949271137026,"(39.932794249775384, 116.43751465416179)"
177,5996420,495427.0,0.0311193379984,0.949271137026,"(39.969631626235397, 116.68194607268465)"
178,9341635,397721.0,0.0312379298972,0.949368318756,"(39.91617250673854, 116.28159437280188)"
179,6981143,494682.0,0.0313854334932,0.949368318756,"(40.070709793351298, 116.5641266119578)"
180,8337638,193256.0,0.0314430583005,0.949659863946,"(39.957951482479785, 116.40175849941384)"
181,9816703,387252.0,0.0315585285674,0.949757045675,"(39.89910152740341, 116.22473622508792)"
182,7715587,482948.0,0.0317025333354,0.949757045675,"(39.955705300988321, 116.47620164126613)"
183,7490243,482723.0,0.0318464710132,0.949757045675,"(39.939532794249772, 116.50316529894491)"
184,7852765,482645.0,0.0319903854332,0.949757045675,"(39.970979335130281, 116.45978898007034)"
185,7975173,481350.0,0.0321339137118,0.949757045675,"(39.952111410601972, 116.44513481828839)"
186,7539349,480829.0,0.0322772866393,0.949757045675,"(39.996136567834682, 116.49730363423213)"
187,6976249,480375.0,0.0324205241938,0.949757045675,"(40.072506738544476, 116.56471277842908)"
188,6177948,476406.0,0.0325625782773,0.949757045675,"(40.105300988319854, 116.66025791324736)"
189,8611771,184236.0,0.0326175135135,0.950048590865,"(39.888319856244387, 116.36893317702229)"
190,9992863,373285.0,0.0327288191195,0.950145772595,"(39.823629829290205, 116.20363423212193)"
191,8773492,175138.0,0.0327810415266,0.950437317784,"(39.927403414195865, 116.34958968347011)"
192,8234614,271454.0,0.0328619833057,0.950631681244,"(39.883378256963162, 116.41406799531067)"
193,8538301,367649.0,0.0329716083771,0.950728862974,"(39.888319856244387, 116.37772567409145)"
194,8259160,270446.0,0.033052249592,0.950923226433,"(39.908535489667564, 116.41113716295429)"
195,9346311,462728.0,0.0331902251884,0.950923226433,"(39.816442048517516, 116.2810082063306)"
196,6623252,362453.0,0.0332983009237,0.951020408163,"(39.919317160826594, 116.60691676436109)"
